year,eebo,estc
1473,1,1
1474,1,2
1475,0,1
1476,2,8
1477,11,16
1478,3,4
1479,1,7
1480,5,13
1481,5,13
1482,5,10
1483,10,33
1484,6,12
1485,7,17
1486,1,7
1487,2,6
1488,0,6
1489,3,10
1490,3,20
1491,1,8
1492,5,14
1493,7,14
1494,4,23
1495,5,27
1496,8,40
1497,9,33
1498,6,29
1499,6,42
1500,12,56
1501,1,18
1502,2,33
1503,2,27
1504,4,24
1505,6,64
1506,6,37
1507,6,33
1508,8,62
1509,14,56
1510,13,105
1511,8,43
1512,1,42
1513,6,34
1514,2,38
1515,6,78
1516,3,50
1517,7,65
1518,9,69
1519,4,53
1520,15,111
1521,5,78
1522,5,54
1523,6,62
1524,2,38
1525,15,111
1526,8,83
1527,7,93
1528,13,99
1529,12,71
1530,24,137
1531,16,107
1532,17,90
1533,28,112
1534,38,108
1535,32,105
1536,23,86
1537,14,77
1538,25,125
1539,18,81
1540,32,116
1541,12,61
1542,27,96
1543,26,105
1544,20,105
1545,30,126
1546,22,123
1547,39,140
1548,104,256
1549,49,170
1550,67,249
1551,32,135
1552,23,145
1553,43,171
1554,45,132
1555,49,200
1556,44,175
1557,26,112
1558,35,103
1559,34,123
1560,51,167
1561,38,159
1562,58,160
1563,36,146
1564,33,97
1565,53,166
1566,67,175
1567,34,154
1568,36,129
1569,70,160
1570,97,259
1571,51,156
1572,56,164
1573,46,173
1574,47,183
1575,56,231
1576,43,164
1577,65,215
1578,72,215
1579,88,257
1580,87,305
1581,96,292
1582,70,216
1583,66,252
1584,71,274
1585,80,323
1586,66,241
1587,71,249
1588,97,253
1589,114,294
1590,112,347
1591,121,295
1592,103,305
1593,77,216
1594,86,266
1595,121,333
1596,102,319
1597,91,283
1598,101,296
1599,105,320
1600,134,388
1601,84,254
1602,121,333
1603,172,451
1604,131,423
1605,125,379
1606,146,408
1607,148,456
1608,116,416
1609,157,472
1610,124,411
1611,103,407
1612,149,469
1613,177,523
1614,126,456
1615,171,549
1616,138,487
1617,111,438
1618,208,545
1619,130,506
1620,179,604
1621,188,570
1622,171,612
1623,149,570
1624,194,618
1625,237,688
1626,122,447
1627,112,479
1628,158,533
1629,126,509
1630,198,708
1631,148,647
1632,135,565
1633,148,656
1634,136,567
1635,180,734
1636,123,544
1637,133,590
1638,192,673
1639,146,609
1640,280,877
1641,909,2385
1642,1535,3951
1643,780,1993
1644,505,1336
1645,521,1309
1646,592,1378
1647,735,1946
1648,898,2440
1649,666,1687
1650,499,1434
1651,373,1114
1652,395,1157
1653,489,1391
1654,478,1241
1655,458,1239
1656,372,1211
1657,395,1279
1658,401,1172
1659,800,2063
1660,1297,2886
1661,640,1668
1662,435,1321
1663,348,1118
1664,303,969
1665,345,988
1666,227,682
1667,224,732
1668,264,927
1669,203,857
1670,353,1186
1671,256,961
1672,339,1122
1673,363,1134
1674,375,1161
1675,398,1345
1676,388,1335
1677,349,1162
1678,411,1279
1679,703,1876
1680,924,2292
1681,829,2056
1682,750,2060
1683,736,1981
1684,531,1899
1685,739,2290
1686,356,1223
1687,445,1515
1688,701,2190
1689,960,2833
1690,732,2655
1691,594,1904
1692,513,1671
1693,487,1661
1694,501,1567
1695,690,2426
1696,570,1936
1697,476,1780
1698,561,1840
1699,483,1844
1700,710,2810
